sku,title,product_id,status,image_source,akwa_url,catalogue_page,notes
LED4200W,Akwa Ocean Max LED T4-200 White 4W,15538248908873,IMAGED,media/akwa-ocean-max-t4.png,https://www.akwa.co.za/product/led-t4-200/,6,Shared T4 range banner (boxed lamps ~1169px)
LED4200BW,Akwa Ocean Max LED T4-200 Blue White 4W,15538248941641,IMAGED,media/akwa-ocean-max-t4.png,https://www.akwa.co.za/product/led-t4-200/,6,Shared T4 range banner
LED4300W,Akwa Ocean Max LED T4-300 White 6W,15538248974409,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED4300BW,Akwa Ocean Max LED T4-300 Blue White 6W,15538249007177,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED4400W,Akwa Ocean Max LED T4-400 White 7.5W,15538249039945,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED4400BW,Akwa Ocean Max LED T4-400 Blue White 7.5W,15538249072713,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED4500W,Akwa Ocean Max LED T4-500 White 8W,15538249105481,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED4500BW,Akwa Ocean Max LED T4-500 Blue White 8W,15538249138249,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED4600W,Akwa Ocean Max LED T4-600 White 10W,15538249171017,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED4600BW,Akwa Ocean Max LED T4-600 Blue White 10W,15538249203785,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED4800W,Akwa Ocean Max LED T4-800 White 13.6W,15538249236553,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED4800BW,Akwa Ocean Max LED T4-800 Blue White 13.6W,15538249269321,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED41000W,Akwa Ocean Max LED T4-1000 White 16.5W,15538249302089,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED41000BW,Akwa Ocean Max LED T4-1000 Blue White 16.5W,15538249334857,IMAGED,media/akwa-ocean-max-t4.png,,6,Shared T4 range banner
LED1088R,Akwa Dophin LED-1088 RGB 35cm 12W,15538248548425,IMAGED,media/dophin-led-1088.png,https://www.akwa.co.za/product/dophin-led-1088-red-35cm-12w/,4,Boxed product photo ~625px; catalogue text says RGB
LED1089B,Akwa Dophin LED-1089 BioLux 45cm 17W,15538248581193,IMAGED,media/dophin-led-1089.png,https://www.akwa.co.za/product/dophin-led-1089-bio-lux-45cm-17w/,5,Boxed product photo ~646px (shared across 1089 variants)
LED1089M,Akwa Dophin LED-1089 Marine 45cm 17W,15538248613961,IMAGED,media/dophin-led-1089.png,https://www.akwa.co.za/product/dophin-led-1089-marine-45cm-17w/,5,Boxed product photo (shared)
LED1089R,Akwa Dophin LED-1089 RGB 45cm 17W,15538248646729,IMAGED,media/dophin-led-1089.png,https://www.akwa.co.za/product/dophin-led-1089-rgb-45cm-17w/,5,Boxed product photo (shared)
LED1090M,Akwa Dophin LED-1090 Marine 60cm 20W,15538248679497,IMAGED,media/dophin-led-1090.png,https://www.akwa.co.za/product/dophin-led-1090-marine-60cm-20w/,5,Boxed product photo ~702px (shared across 1090 variants)
